[11978.809189] CMPE 283 Assignment 1 Module Start
[11978.813834] Pinbased Controls MSR: 0x3f00000016
[11978.818486]   External Interrupt Exiting: Can set=Yes, Can clear=Yes
[11979.168961]   Guest-paging Verification: Can set=No, Can clear=Yes
[11979.175429] Exit Controls MSR: 0x3fefff00036dff
[11979.180162]   Save Debug Controls: Can set=Yes, Can clear=No
[11979.185941]   Host Address-Space Size: Can set=Yes, Can clear=Yes
[11979.192235]   Load IA32_PERF_GLOBAL_CTRL: Can set=No, Can clear=Yes
[11979.198623]   Acknowledge Interrupt On Exit: Can set=Yes, Can clear=Yes
[11979.205356]   Save IA32_PAT: Can set=Yes, Can clear=Yes
[11979.210778]   Load IA32_PAT: Can set=Yes, Can clear=Yes
[11979.216265]   Save IA32_EFER: Can set=Yes, Can clear=Yes
[11979.221789]   Load IA32_EFER: Can set=Yes, Can clear=Yes
[11979.227218]   Save VMXpreemption Timer Value: Can set=No, Can clear=Yes
[11979.233961]   Clear IA32_BNDCFGS: Can set=No, Can clear=Yes
[11979.239758]   Conceal VMX from PT: Can set=No, Can clear=Yes
[11979.245563]   Clear IA32_RTIT_CTL: Can set=No, Can clear=Yes
[11979.251342]   Clear IA32_LBR_CTL: Can set=No, Can clear=Yes
[11979.257042]   Load CET state: Can set=No, Can clear=Yes
[11979.262398]   Load PKRS: Can set=No, Can clear=Yes
[11979.267309] Entry Controls MSR: 0xd3ff000011ff
[11979.271895]   Load Debug Controls: Can set=Yes, Can clear=No
[11979.277767]   IA-32e Mode Guest: Can set=Yes, Can clear=Yes
[11979.283453]   Entry to SMM: Can set=No, Can clear=Yes
[11979.288634]   Deactivate Dual Monitor Treatment: Can set=No, Can clear=Yes
[11979.295828]   Load IA32_PERF_GLOBAL_CTRL: Can set=No, Can clear=Yes
[11979.302221]   Load IA32_PAT: Can set=Yes, Can clear=Yes
[11979.307566]   Load IA32_EFER: Can set=Yes, Can clear=Yes
[11979.313006]   Load IA32_BNDCFGS: Can set=No, Can clear=Yes
[11979.318609]   Conceal VMX from PT: Can set=No, Can clear=Yes
[11979.324507]   Load IA32_RTIT_CTL: Can set=No, Can clear=Yes
[11979.330291]   Load CET State: Can set=No, Can clear=Yes
[11979.335721]   Load Guest IA32_LBR_CTL: Can set=No, Can clear=Yes
[11979.341975]   Load PKRS: Can set=No, Can clear=Yes
